Index,Buy_0,Notrade_45,Notrade_90,Sell_135,SL1,Buy_180,Notrade_225,Notrade_270,Sell_315,SL2
361,520202,520563,520924,521285,521465.5,521646,522007,522368,522729,522910.0
362,523091,523453,523815,524177,524358.0,524539,524901,525263,525625,525806.5
363,525988,526351,526714,527077,527258.5,527440,527803,528166,528529,528711.0
364,528893,529257,529621,529985,530167.0,530349,530713,531077,531441,531623.5
365,531806,532171,532536,532901,533083.5,533266,533631,533996,534361,534544.0
366,534727,535093,535459,535825,536008.0,536191,536557,536923,537289,537472.5
367,537656,538023,538390,538757,538940.5,539124,539491,539858,540225,540409.0
368,540593,540961,541329,541697,541881.0,542065,542433,542801,543169,543353.5
369,543538,543907,544276,544645,544829.5,545014,545383,545752,546121,546306.0
370,546491,546861,547231,547601,547786.0,547971,548341,548711,549081,549266.5
371,549452,549823,550194,550565,550750.5,550936,551307,551678,552049,552235.0
372,552421,552793,553165,553537,553723.0,553909,554281,554653,555025,555211.5
373,555398,555771,556144,556517,556703.5,556890,557263,557636,558009,558196.0
374,558383,558757,559131,559505,559692.0,559879,560253,560627,561001,561188.5
375,561376,561751,562126,562501,562688.5,562876,563251,563626,564001,564189.0
376,564377,564753,565129,565505,565693.0,565881,566257,566633,567009,567197.5
377,567386,567763,568140,568517,568705.5,568894,569271,569648,570025,570214.0
378,570403,570781,571159,571537,571726.0,571915,572293,572671,573049,573238.5
379,573428,573807,574186,574565,574754.5,574944,575323,575702,576081,576271.0
380,576461,576841,577221,577601,577791.0,577981,578361,578741,579121,579311.5
